State,Coordinates
Uttar Pradesh,"{'Latitude': 25.3452, 'Longitude': 82.9939}"
Uttar Pradesh,"{'Latitude': 26.7741, 'Longitude': 83.0678}"
Uttar Pradesh,"{'Latitude': 27.0732, 'Longitude': 82.9883}"
Uttar Pradesh,"{'Latitude': 25.765, 'Longitude': 84.2169}"
Uttar Pradesh,"{'Latitude': 26.312, 'Longitude': 82.7319}"
Uttar Pradesh,"{'Latitude': 25.9264, 'Longitude': 83.5689}"
Uttar Pradesh,"{'Latitude': 27.1183, 'Longitude': 83.5386}"
Uttar Pradesh,"{'Latitude': 26.079, 'Longitude': 82.6309}"
Uttar Pradesh,"{'Latitude': 26.7408, 'Longitude': 83.2465}"
Uttar Pradesh,"{'Latitude': 25.7379, 'Longitude': 82.6733}"
Uttar Pradesh,"{'Latitude': 24.9542, 'Longitude': 84.0165}"
Uttar Pradesh,"{'Latitude': 26.37, 'Longitude': 83.0052}"
Uttar Pradesh,"{'Latitude': 25.3864, 'Longitude': 82.5821}"
Uttar Pradesh,"{'Latitude': 26.0841, 'Longitude': 83.2787}"
Uttar Pradesh,"{'Latitude': 25.7579, 'Longitude': 84.1504}"
Uttar Pradesh,"{'Latitude': 26.453, 'Longitude': 82.7698}"
Uttar Pradesh,"{'Latitude': 25.277, 'Longitude': 83.1322}"
Uttar Pradesh,"{'Latitude': 25.8814, 'Longitude': 82.8724}"
Uttar Pradesh,"{'Latitude': 25.0494, 'Longitude': 83.4641}"
Uttar Pradesh,"{'Latitude': 26.1632, 'Longitude': 83.5709}"
Uttar Pradesh,"{'Latitude': 27.2801, 'Longitude': 83.2858}"
Uttar Pradesh,"{'Latitude': 25.7291, 'Longitude': 82.6906}"
Uttar Pradesh,"{'Latitude': 25.0431, 'Longitude': 83.6132}"
Uttar Pradesh,"{'Latitude': 26.7524, 'Longitude': 83.3703}"
Uttar Pradesh,"{'Latitude': 27.1439, 'Longitude': 83.5567}"
Uttar Pradesh,"{'Latitude': 25.8559, 'Longitude': 84.26}"
Uttar Pradesh,"{'Latitude': 26.1278, 'Longitude': 83.8855}"
Uttar Pradesh,"{'Latitude': 27.4769, 'Longitude': 82.4274}"
Uttar Pradesh,"{'Latitude': 26.226, 'Longitude': 84.3573}"
Uttar Pradesh,"{'Latitude': 25.3338, 'Longitude': 82.4679}"
Uttar Pradesh,"{'Latitude': 25.5784, 'Longitude': 83.5588}"
Uttar Pradesh,"{'Latitude': 25.0111, 'Longitude': 82.0541}"
Uttar Pradesh,"{'Latitude': 25.7457, 'Longitude': 82.6941}"
Uttar Pradesh,"{'Latitude': 26.9814, 'Longitude': 84.8513}"
Uttar Pradesh,"{'Latitude': 25.8454, 'Longitude': 82.3872}"
Uttar Pradesh,"{'Latitude': 26.7723, 'Longitude': 83.3862}"
Uttar Pradesh,"{'Latitude': 25.4618, 'Longitude': 82.6378}"
Uttar Pradesh,"{'Latitude': 26.0235, 'Longitude': 82.9231}"
Uttar Pradesh,"{'Latitude': 25.4628, 'Longitude': 82.4165}"
Uttar Pradesh,"{'Latitude': 25.3963, 'Longitude': 82.562}"
Uttar Pradesh,"{'Latitude': 25.8407, 'Longitude': 83.2909}"
Uttar Pradesh,"{'Latitude': 25.1116, 'Longitude': 83.4024}"
Uttar Pradesh,"{'Latitude': 25.75, 'Longitude': 84.006}"
Uttar Pradesh,"{'Latitude': 25.1498, 'Longitude': 82.3429}"
Uttar Pradesh,"{'Latitude': 26.584, 'Longitude': 83.1732}"
Uttar Pradesh,"{'Latitude': 26.6392, 'Longitude': 82.682}"
Uttar Pradesh,"{'Latitude': 26.2738, 'Longitude': 82.474}"
Uttar Pradesh,"{'Latitude': 25.3116, 'Longitude': 82.9883}"
Uttar Pradesh,"{'Latitude': 26.7556, 'Longitude': 82.7192}"
